item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,17768513526661.0,19554483597660.0,17641690315855.0,15248299557513.0,17999967709551.0,16765387177967.0,19509893727797.0,18545907993661.0,18108087115006.0,18875460833115.0,19216688793347.0,16827400376847.0,20968164147762.0,20405220097005.0,19518958113442.0,16897308416532.0,21032714700866.0,24662313772646.0,24122047557461.0,24685400219597.0,26260062888464.0,29727551923928.0,29378901070030.0,29152450804452.0,28377297197962.0,32506348466455.0,31374658420901.0,29980558720344.0,30402269396432.0,34519997482557.0,34149773029374.0,37007847543130.0,44740544253050.0,55577329146904.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,2836672439526.0,5781844937864.0,7175412906382.0,3185329931901.0,3825033117436.0,3970616088322.0,6859764168012.0,5121713996509.0,5407066432092.0,6363157808582.0,7139765583436.0,7069701543243.0,7982652679429.0,7230698604918.0,9320562550334.0,8223697330073.0,7077287881900.0,6554006094199.0,8158628736681.0,8276734441022.0,5075203519936.0,8154347914748.0,7509777215857.0,8592015336778.0,7538438098305.0,9927637718311.0,12608478331048.0,11564348565017.0,9323101795826.0,10147124355139.0,9681165765710.0,6737940350756.0,8332289680232.0,9834057312090.0
Tiền,Cash,cash,261235909466.0,378796386770.0,949523206600.0,173809128318.0,191815589467.0,264323475232.0,282819168012.0,170383996509.0,311575641676.0,213157808582.0,889765583436.0,927096842311.0,1246270820134.0,777290047694.0,609287902200.0,263697330073.0,800237881900.0,547515303783.0,331137946265.0,509655948477.0,391837292236.0,1073605978080.0,1061472845537.0,689471191755.0,380634225109.0,871397255034.0,1380857487571.0,445882067932.0,1586655298741.0,814324355139.0,787365765710.0,996600350756.0,1162289680232.0,2490688866885.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,2575436530060.0,5403048551094.0,6225889699782.0,3011520803583.0,3633217527969.0,3706292613090.0,6576945000000.0,4951330000000.0,5095490790416.0,6150000000000.0,6250000000000.0,6142604700932.0,6736381859295.0,6453408557224.0,8711274648134.0,7960000000000.0,6277050000000.0,6006490790416.0,7827490790416.0,7767078492545.0,4683366227700.0,7080741936668.0,6448304370320.0,7902544145023.0,7157803873196.0,9056240463277.0,11227620843477.0,11118466497085.0,7736446497085.0,9332800000000.0,8893800000000.0,5741340000000.0,7170000000000.0,7343368445205.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,1269025245522.0,159025245522.0,149038035938.0,176038035938.0,171038035938.0,151038035938.0,201038035938.0,619490790416.0,698430000000.0,523920790416.0,865917790416.0,788594344271.0,778631386741.0,1215653613956.0,1230626638554.0,531217428970.0,535762268267.0,581321477851.0,948071477851.0,1624071477851.0,1766711786170.0,1166129276581.0,1738220066997.0,2238542629713.0,1570255325291.0,2605305325291.0,3150104463759.0,4111871588588.0,4686971588528.0,7828665805764.0,11116413386899.0,12530855306981.0,15068396619658.0,16740417454316.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,9839119783175.0,9722364527382.0,6248394767302.0,7529933817434.0,9922906821790.0,8615898984188.0,8282848925484.0,8700689050997.0,9837637223276.0,9790971702849.0,8982769072454.0,7126291026858.0,10189823892886.0,9838064770024.0,6565479771927.0,5802000006481.0,9657264533326.0,13682185686423.0,11693164818023.0,12284177382668.0,17166740788541.0,17913321034800.0,17176238223827.0,14641231313373.0,15636179785488.0,15567100294351.0,12390171070603.0,11873163177188.0,13752263269711.0,13557620448264.0,10365024498292.0,14577596321648.0,17669389792770.0,25246742854701.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,9530324586500.0,9508254205298.0,5917863638831.0,7320782165086.0,9653611237967.0,8429462996421.0,8024878728113.0,8925351150652.0,9958849716107.0,10187006054424.0,9407650387716.0,7786118535121.0,10708051938650.0,10140201363029.0,6819774753627.0,5344254739998.0,9169758823615.0,11238306939170.0,9291219289360.0,9778407952370.0,14294904410371.0,15016664117170.0,14225516440452.0,12325217804640.0,14121962395183.0,14551482530708.0,11354687124305.0,11120910645480.0,13169815606117.0,12867006422451.0,9804965622698.0,14196970596014.0,17570909659135.0,25210017682104.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,126909275382.0,126272004861.0,220922735238.0,117298192360.0,152389174793.0,123543630075.0,159582279263.0,121608481063.0,133364788827.0,151633823350.0,193668343138.0,97660020941.0,141075090723.0,169820809069.0,211868435988.0,179685926326.0,171703640703.0,2163481684712.0,2276047863605.0,2074044889889.0,2046427605921.0,1997615310625.0,1850435561400.0,1264274793717.0,980424261773.0,415994423765.0,398877285253.0,296909444148.0,354628249921.0,413507608794.0,401879877321.0,386286638743.0,352522856654.0,359266904254.0
Phải thu nội bộ,Intercompany receivables,intercompany_receivables,0.0,0.0,0.0,0.0,0.0,328986065309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu hợp đồng xây dựng đang thực hiện,Construction contract in progress receivables,construction_contract_in_progress_receivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phải thu khác,Other receivables,other_receivables,403474315356.0,324963357617.0,355165838030.0,339778096492.0,363962589534.0,0.0,364472223734.0,311213910219.0,363059006847.0,332633308570.0,342789957754.0,327414346123.0,341638906039.0,327138034679.0,332950235220.0,359305989528.0,397048718379.0,381383887172.0,414118536144.0,794577016548.0,924100049679.0,1006286369105.0,1207530984075.0,1087832442538.0,1050775778175.0,1095222072132.0,1132205393299.0,950858469914.0,859097196258.0,840332831584.0,735040274388.0,537021821672.0,348201098184.0,359426644975.0
