item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,4945403246503.0,5851201857159.0,3768006144998.0,4311553913668.0,4900898810580.0,4729313206875.0,4641207034239.0,4268142781838.0,4598807682832.0,4125093958497.0,4193324835002.0,3986947246255.0,4106050728553.0,5196709864131.0,5836119226472.0,7282185488206.0,9491389553736.0,10784246933828.0,10614353055245.0,11633943108689.0,12382242818473.0,13330889875160.0,12738909667594.0,13243528989131.0,14010468900378.0,14530750583143.0,12822789730467.0,12920862784796.0,14134963923176.0,15061351351872.0,13523411387807.0,14447094769514.0,15673674735289.0,18659805456044.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,689181141118.0,1521092686981.0,337104416810.0,285772454306.0,441890633308.0,443116959311.0,570662902571.0,471290245121.0,389863156757.0,563542496156.0,373810125579.0,509995350873.0,435782531594.0,1159558420808.0,663120284075.0,427652730904.0,1045379351399.0,1996496136466.0,772152328201.0,2125625291560.0,2386904287816.0,2140644174897.0,2304957387294.0,2284399788772.0,3116621420878.0,3975120987904.0,2111955319492.0,1903248325989.0,1990759935043.0,3828732110334.0,1940788382411.0,3590267536235.0,4072576999902.0,3779165924198.0
Tiền,Cash,cash,357181141118.0,689092686981.0,337104416810.0,165772454306.0,441890633308.0,243116959311.0,170662902571.0,371290245121.0,339863156757.0,563542496156.0,373810125579.0,289995350873.0,400782531594.0,859558420808.0,663120284075.0,427652730904.0,1045379351399.0,846496136466.0,752152328201.0,2125625291560.0,2356904287816.0,2110644174897.0,2284957387294.0,2274399788772.0,3061621420878.0,3435120987904.0,2111955319492.0,1903248325989.0,1990759935043.0,3328732110334.0,1920788382411.0,3375267536235.0,4052576999902.0,3779165924198.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,332000000000.0,832000000000.0,0.0,120000000000.0,0.0,200000000000.0,400000000000.0,100000000000.0,50000000000.0,0.0,0.0,220000000000.0,35000000000.0,300000000000.0,0.0,0.0,0.0,1150000000000.0,20000000000.0,0.0,30000000000.0,30000000000.0,20000000000.0,10000000000.0,55000000000.0,540000000000.0,0.0,0.0,0.0,500000000000.0,20000000000.0,215000000000.0,20000000000.0,0.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,3120000000000.0,3170000000000.0,2252000000000.0,2502000000000.0,2332000000000.0,1932000000000.0,1532000000000.0,2002000000000.0,2002000000000.0,1902000000000.0,2202000000000.0,2302000000000.0,2602000000000.0,2932000000000.0,3412000000000.0,4362000000000.0,5562000000000.0,5212000000000.0,6912000000000.0,6812000000000.0,6842000000000.0,8372000000000.0,7512000000000.0,8242000000000.0,7812000000000.0,6652000000000.0,6503600000000.0,7039051232877.0,7009051232877.0,7222000000000.0,4952000000000.0,4082000000000.0,4657752958907.0,4137344178085.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,463431819956.0,585740851110.0,476111446107.0,452587591882.0,484357374664.0,421221721225.0,684420521175.0,405072065379.0,482780021508.0,333070332313.0,532220529605.0,217396300223.0,195136185000.0,190031892909.0,267971954959.0,187577767146.0,659585321517.0,922784815501.0,671266258083.0,186775708424.0,814724809820.0,398990810888.0,380063078148.0,389087382197.0,316475162608.0,722144955060.0,622065010931.0,528623191927.0,1409144144643.0,710811582295.0,1378843522364.0,1258875388173.0,1502999899108.0,1542487819900.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,28243813925.0,30925729938.0,974875286.0,17543502062.0,8836197729.0,16146249635.0,279473512761.0,2927737656.0,3427925661.0,23696041698.0,294285037346.0,44753555075.0,1207151341.0,14988090925.0,1398595342.0,44653506905.0,13951016302.0,750722762261.0,433269442376.0,1404795808.0,7180081703.0,66041998905.0,4218828685.0,198511991794.0,8028889293.0,502174987376.0,406555825229.0,298904899906.0,1051650957035.0,376005602055.0,276852001002.0,678419194118.0,721790031652.0,829877755400.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,105739869712.0,173118675672.0,118874199792.0,86367565902.0,115394966787.0,64400060815.0,54264785900.0,57647649410.0,70290971231.0,53620415504.0,30032516109.0,15505616232.0,35330165806.0,54199351706.0,141141555633.0,86006714411.0,579665263214.0,111977907040.0,170822866165.0,84916003561.0,673348473158.0,128846942150.0,169684503337.0,78250617400.0,199201386079.0,216766225177.0,209407615918.0,225763998056.0,332555807673.0,315915240793.0,1079537013625.0,432264154145.0,636424813049.0,439985555292.0
