item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,12576322862467.0,14135939540130.0,15206371060048.0,14690168205219.0,15515537762586.0,16861849375663.0,17575957284443.0,19164602511633.0,16346544224916.0,18413850495012.0,19987611807533.0,19513381452440.0,19224902005825.0,20949993263440.0,20870073057046.0,22877033322264.0,22424394009889.0,23788902258787.0,26420333683541.0,26860224573663.0,24035836979493.0,26098897838382.0,25948826631933.0,26553405591714.0,24868688794432.0,27431927836484.0,24070634490878.0,25066732804106.0,23595997493910.0,25102973272497.0,20479352019762.0,22140977869887.0,22187871267460.0,23511204659025.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,4873459152462.0,4184307406199.0,4228410867018.0,4467391585137.0,4945933287378.0,5303724023229.0,3586992705347.0,4115884646637.0,2447101994565.0,4864813951649.0,3173374778621.0,2726137088387.0,2780498994394.0,3150402298104.0,3293465550027.0,3606454403209.0,3249582254803.0,2739622464898.0,2843366169149.0,4069464160642.0,2994887902083.0,3741721292562.0,2391612113327.0,5039908030600.0,3213098600682.0,6034105422392.0,5428443756883.0,4477501667326.0,3998216920843.0,6502903596185.0,2910495187563.0,4016881626734.0,3698868639029.0,3643082971964.0
Tiền,Cash,cash,923424098479.0,963397435900.0,749088353524.0,1595188808377.0,1214855269008.0,1598339457178.0,1056966805381.0,953478997565.0,935646309626.0,1521757352970.0,1315294778621.0,844203088387.0,767228827207.0,1004812737208.0,1156627522256.0,685368712799.0,982730586677.0,1190072464898.0,1562676169149.0,985364551928.0,1021977902083.0,968132034615.0,1651627704415.0,1423048778559.0,1473873259119.0,1814836758588.0,1893962391142.0,1337761330143.0,1999121044131.0,1890718376392.0,1930647665378.0,1174862635130.0,1666835616406.0,1647450578241.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,3950035053983.0,3220909970299.0,3479322513494.0,2872202776760.0,3731078018370.0,3705384566051.0,2530025899966.0,3162405649072.0,1511455684939.0,3343056598679.0,1858080000000.0,1881934000000.0,2013270167187.0,2145589560896.0,2136838027771.0,2921085690410.0,2266851668126.0,1549550000000.0,1280690000000.0,3084099608714.0,1972910000000.0,2773589257947.0,739984408912.0,3616859252041.0,1739225341563.0,4219268663804.0,3534481365741.0,3139740337183.0,1999095876712.0,4612185219793.0,979847522185.0,2842018991604.0,2032033022623.0,1995632393723.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,4606383203491.0,6955374974564.0,7866885974564.0,7544188420764.0,7496406448542.0,9047239201320.0,11173432449320.0,12393226750273.0,10824541791369.0,11165486789096.0,14320669432877.0,14547419432877.0,13570529000000.0,15290579000000.0,15359384000000.0,16991239000000.0,16380342884932.0,18209682884932.0,20620333884932.0,19411469500000.0,17367463728464.0,18638871262711.0,19997640046912.0,17741052417665.0,18202453317303.0,17324383616495.0,15361135259235.0,16566239177101.0,16263953545620.0,15682490071428.0,14772130081848.0,14985488933982.0,15749882448765.0,17085860180787.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,731643279702.0,715878089163.0,714438390374.0,765630597003.0,842187287859.0,879189455569.0,923041316109.0,568608377917.0,642624842634.0,696475952856.0,683492320624.0,590846416109.0,595353569509.0,645779821564.0,689403181791.0,467956130071.0,685098321685.0,698206826487.0,759503134565.0,897692694315.0,895231761646.0,983673481545.0,1158808305410.0,1229401278553.0,1044442604668.0,1487774094506.0,1304622708914.0,1818472380110.0,889683095932.0,1066459100621.0,875478497013.0,902822762749.0,495674633586.0,734706048094.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,126683472846.0,84715772895.0,108672095920.0,244119166060.0,179317513226.0,136648098322.0,84480823866.0,157654572653.0,132254975342.0,305257999833.0,91140587236.0,69331890605.0,92734859999.0,90518562252.0,211608273261.0,100965921832.0,125270229241.0,233836153897.0,216706889284.0,337852269601.0,234743453387.0,294743280028.0,281184921794.0,467366764227.0,308102884927.0,382147830198.0,298365470783.0,433141431799.0,543721480736.0,671941161116.0,572331148186.0,697568047845.0,691788246159.0,776258525234.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,86612848083.0,72402751825.0,81825877405.0,74757986951.0,80615956582.0,56510250916.0,62089733522.0,54679363371.0,60253994024.0,42027030769.0,178668609412.0,164204071490.0,121140700261.0,79336601196.0,49386402889.0,29859261503.0,61668160023.0,47920298376.0,44451156457.0,68059544421.0,24448402562.0,38045230537.0,39992144550.0,33281517536.0,31436351846.0,47135218856.0,56894040231.0,48390695221.0,49568980899.0,54695541752.0,68870242584.0,31630854564.0,46562130323.0,168526050700.0
