item,item_en,item_id,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024-Q1,2024-Q2,2024-Q3,2024-Q4,2025-Q1,2025-Q2,2025-Q3,2025-Q4,2026-Q1,2026-Q2
TÀI SẢN NGẮN HẠN,CURRENT ASSETS,current_assets,9114813279424.0,10478823419936.0,11359305965280.0,11496794054618.0,12323254995859.0,13731175643059.0,15526669765171.0,17066173125309.0,18272258615388.0,17215185055719.0,18921314850187.0,19922474550398.0,21434310845199.0,24143044642746.0,25165235200227.0,25230038011906.0,25719808092725.0,27257396986907.0,28563248032095.0,27800221453552.0,27468044994122.0,27520589269989.0,27655977002010.0,26233965380828.0,27236419744693.0,26640136038467.0,26587677139447.0,26133343597946.0,30675767331152.0,29149687852400.0,32122884190417.0,33913372104043.0,34319278191914.0,35409565319074.0
Tiền và tương đương tiền,Cash and cash equivalents,cash_and_cash_equivalents,1273896622846.0,722008364574.0,925246152758.0,1158590091551.0,1026434689166.0,863101578562.0,1466616302418.0,793292599726.0,766408371029.0,1266336830529.0,1630606229701.0,1779630924503.0,2337222405434.0,4564859114221.0,4131091099812.0,2737676795617.0,1920369297623.0,2484840814634.0,1077020068213.0,918978826275.0,615227961411.0,454890029947.0,643820989984.0,276068570931.0,1399342972465.0,1069653277792.0,1105106277132.0,1249079279225.0,5106694941075.0,3272061996274.0,3928288784227.0,3391086654285.0,1797431506849.0,1871976935977.0
Tiền,Cash,cash,633143397393.0,400528625834.0,383025711118.0,412369649911.0,516192689166.0,337253856340.0,1103208733152.0,355672599726.0,343936929932.0,591019007625.0,736347145598.0,576111050694.0,446107154143.0,921723248383.0,2148082480328.0,919788961043.0,492008922108.0,1294714703582.0,544467657958.0,279909875986.0,198874462940.0,173548955791.0,401149458086.0,173639210935.0,554491767531.0,402595133108.0,421107103483.0,361642199820.0,2683327335135.0,277713901791.0,448990010354.0,646034691076.0,439438409416.0,304556164555.0
Các khoản tương đương tiền,Cash equivalents,cash_equivalents,640753225453.0,321479738740.0,542220441640.0,746220441640.0,510242000000.0,525847722222.0,363407569266.0,437620000000.0,422471441097.0,675317822904.0,894259084103.0,1203519873809.0,1891115251291.0,3643135865838.0,1983008619484.0,1817887834574.0,1428360375515.0,1190126111052.0,532552410255.0,639068950289.0,416353498471.0,281341074156.0,242671531898.0,102429359996.0,844851204934.0,667058144684.0,683999173649.0,887437079405.0,2423367605940.0,2994348094483.0,3479298773873.0,2745051963209.0,1357993097433.0,1567420771422.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,251821490785.0,241874044785.0,241874044785.0,52479644785.0,542755405982.0,89056583003.0,262767724337.0,305739415870.0,512196526346.0,233095267472.0,231258285302.0,205684093506.0,374999025038.0,1133229106000.0,822025175779.0,285928286212.0,284857541759.0,153803397759.0,172503257479.0,181165950382.0,141106387287.0,123377390209.0,144334624581.0,97174701710.0,83554568509.0,65004187526.0,59348317846.0,77870684561.0,84779853631.0,102813865902.0,106452142517.0,422577076698.0,3811891601890.0,3234434116294.0
Đầu tư ngắn hạn,Short-term investments,short_term_investments,0.0,0.0,0.0,0.0,330019350000.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dự phòng giảm giá,Provision for diminution,provision_for_diminution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Các khoản phải thu,Accounts receivable,accounts_receivable,4417299264815.0,5706199803233.0,5789504670738.0,5577289528285.0,6193024603532.0,7963964927605.0,8343789164354.0,9023334431632.0,8281653543780.0,6660197683136.0,6977654198539.0,7412720907811.0,8325072913271.0,8561193752701.0,8829577985988.0,10182278701153.0,11856659795640.0,11828764767277.0,12946733977404.0,12169293989146.0,11352999176065.0,11870260111636.0,11777618474157.0,11427559341055.0,11419535098797.0,11293306532212.0,11284310560285.0,11089555145173.0,11793510749004.0,11228444127956.0,13108402256839.0,14168957829295.0,12465107492417.0,13750445859283.0
Phải thu khách hàng,Trade accounts receivable,trade_accounts_receivable,786692437165.0,1156148365688.0,1187919089615.0,1255695297076.0,1307680762506.0,1357391103446.0,1409628301739.0,1938830273317.0,1457729999975.0,1331379978412.0,1203396658713.0,1389106981964.0,2077498710084.0,1746232170490.0,1802821468894.0,1720487453115.0,1882527928636.0,1594486365487.0,1863503053382.0,1830659188665.0,1523263610471.0,1521072395022.0,1751863742708.0,1334529139681.0,1348549371297.0,1374770226430.0,1175770900160.0,1601265690444.0,2056635007424.0,1331209267558.0,1766504605834.0,1685387088444.0,1702123800726.0,1683737433816.0
Trả trước người bán,Prepayments to suppliers,prepayments_to_suppliers,621283206281.0,893247002309.0,691632523078.0,778675064341.0,759966828407.0,987600779806.0,1033975518703.0,894177558351.0,1125379866004.0,1154107658520.0,1091879341026.0,1241885951912.0,1294614591526.0,1348840271487.0,1315812934654.0,1565489822795.0,2692085338602.0,2309017777771.0,2339214764422.0,1779284652219.0,1721449894475.0,1998137386681.0,2539241743380.0,2892074006021.0,2953928665420.0,3119140932752.0,3277434146804.0,3279350947058.0,3232702249584.0,3396545209142.0,3737093479416.0,5298365895361.0,4411505361180.0,6077452347052.0
